party,content,target,stance
nor: Centre Party,"Følge opp forslaget fra likelønnskommisjonen om øremerkede  lønnsmidler i stat - og kommuneoppgjøret, for å utjevne lønnsgapet mellom utøvere innen helse-, omsorgs-  og utdanningsyrke og profesjonsgrupper med tilsvarende utdanningsløp.",Integration,FAVOR
nor: Progress Party,", og dette kan kobles til den generelle bistandspolitikken.",Immigration,NONE
fin: Finnish Rural Party,"Sen sijaan katsomme, että Suomen on oltava avoin sellaiselle maahanmuutolle, jonka vaikutukset ovat neutraalit tai myönteiset.",Immigration,FAVOR
nld: Labour Party,In veel steden zijn de spanningen de laatste jaren toegenomen.,Integration,AGAINST
deu: Christian Democratic Union/C.Social Union ,"Gleichzeitig setzen wir alles daran, das heimische Potenzial an Qualifikationen und Fachkräften zu nutzen.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Ein sicheres Leben in Deutschland ist auf gute Nachbarschaft und stabile Partnerschaften angewiesen.,Integration,FAVOR
nld: Labour Party,De PvdA wil dat werkgevers ook voor flexwerkers verantwoordelijkheid dragen bij ziekte en bij re-integratie na langdurige ziekte.,Integration,FAVOR
deu: Alliance‘90/Greens,Integration erfolgt immer auch über den Arbeitsprozess.,Integration,FAVOR
nor: Progress Party,. voksne familieinnvandrere må ha opparbeidet seg et minimum av kunnskaper om norsk språk og samfunnsliv,Integration,AGAINST
dnk: Liberals,"Derfor vil vi bl.a. sikre undervisning i samfundsforståelse, demokrati og medborgerskab, og vi vil udvikle tilbud om undervisning i medborgerskab til imamer og andre religiøse forkyndere.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Aussiedler sind mit ihrem Können, ihrem Fleiß und ihrer kulturellen Tradition ein Gewinn für unser Land.",Integration,FAVOR
swe: Moderate Coalition Party,att det finns en bra skola för barnen,Integration,NONE
che: Swiss People’s Party,"Anerkannte Flüchtlinge und vorläufig Aufgenommene, von de-nen die grosse Mehrheit in der Schweiz bleibt, sind mangelhaft  integriert.",Integration,AGAINST
nor: Centre Party,.  Arbeidsinnvandringen krever også at myndighetene holder et våkent øye på lønns- og arbeidsvilkårene i de mest aktuelle bransjene for å hindre sosial dumping,Immigration,FAVOR
deu: Free Democratic Party,-   Darüber freuen wir uns.,Immigration,FAVOR
esp: United Left,"Reforzar presupuestariamente y con los medios humanos y materiales necesarios los servicios sociales y los sistemas sanitarios y de educación públicos, fundamentalmente en aquellas zonas con carencias de origen, agudizadas hoy por una mayor concentración de población inmigrante,",Integration,FAVOR
deu: Social Democratic Party of Germany,Deutschland ist ein offenes Land.,Integration,FAVOR
