party,content,target,stance
esp: United Left,"de los obstáculos en frontera y consulares que impiden su ejercicio, estableciendo un sistema de garantías plenas de acogida e información sobre asilo y refugio.",Immigration,FAVOR
dnk: Radical Party,Mens de opholder sig her som asylansøgere skal de have mulighed for at leve et ordentligt liv.,Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,CDU und CSU stehen an der Seite der deutschen Volksgruppen in Osteuropa und den Nachfolgestaaten der Sowjetunion.,Integration,FAVOR
esp: United Left,"- Empadronamiento de los inmigrantes que lo soliciten, por parte de los Ayuntamientos, con independencia de su situación legal.",Integration,FAVOR
aus: Australian Greens,"all migrants to be given access to a full range of culturally sensitive, appropriate health services including a comprehensive medical examination on arrival.",Integration,FAVOR
nor: Progress Party,"Norge  er fortsatt beryktet som et land hvor det er  lett å få opphold, og hvor grensekontrollen  er minimal.",Immigration,AGAINST
deu: Alliance‘90/Greens,Wir werden den Erwerb der Staatsbürgerschaft durch Geburt stärken:,Integration,FAVOR
aut: Austrian People’s Party,"die speziell auf Bedürfnisse der Zuwanderer Rücksicht nehmen, z. B. wo Eltern im Reinigungs- und Gastgewerbe arbeiten.",Integration,FAVOR
dnk: Conservative People’s Party,Der skal gribes anderledes håndfast ind overfor kriminelle asylansøgere.,Immigration,AGAINST
esp: Popular Party,"En la última década, España se convirtió en el primer destino de la inmigración en la Unión Europea: se han incorporado a nuestra población más de cinco millones de inmigrantes, un doce por ciento del total de la población.",Immigration,NONE
nld: Christian Democratic Appeal,5.2.10 Het CDA wil de export van de welvaartstoeslagen op de uitkeringen staken voor zover deze zijn gebaseerd op het welvaart- en voorzieningenniveau in Nederland.,Immigration,AGAINST
nor: Socialist Left Party,. Ved ledig arbeid skal kvalifiserte ansatte tilbys utvidelse av sitt arbeidsforhold til hel stilling,Integration,FAVOR
aut: Austrian People’s Party,Den friedlichen Dialog der Kulturen werden wir weiter ausbauen.,Integration,FAVOR
swe: Liberal People’s Party,Skolan som murbräcka mot segregation.,Integration,FAVOR
aut: Austrian People’s Party,Wohnungsmonitor: Erhebung der Wohnsituation von Zuwanderern,Integration,FAVOR
nld: Democrats‘66,Over integratie blijven praten lost niets op.,Integration,FAVOR
esp: Popular Party,Suprimiremos la restricción geográfica o de sector de las autorizaciones de trabajo por cuenta propia o ajena que impiden la movilidad del trabajador extranjero.,Integration,FAVOR
deu: Social Democratic Party of Germany,"Wer in Deutschland lebt, muss diese Verfassung achten und die Gesetze einhalten, mit allen Rechten und Pflichten.",Integration,FAVOR
swe: Christian Democratic Community Party ,Ett Sverige där folk känner sig trygga är ett mänskligare Sverige.,Integration,FAVOR
nor: Socialist Left Party,"Målet med integreringspolitikken er at alle innbyggere skal sikres like rettigheter, plikter og muligheter i samfunnet.",Integration,FAVOR
deu: Alliance‘90/Greens,Mehrstaatigkeit muss generell erlaubt sein.,Integration,FAVOR
nor: Christian People’s Party,sikre alle reell tros- og religionsfrihet.,Integration,FAVOR
deu: Social Democratic Party of Germany,"Integration bedeutet die gleichberechtigte Teilhabe am gesellschaftlichen, wirtschaftlichen, kulturellen und politischen Leben.",Integration,FAVOR
nld: Christian Democratic Appeal,"Mensen kunnen alleen functioneren in de samenleving, als ze de taal spreken.",Integration,AGAINST
nor: Centre Party,Utbygging av engelskspråklige tilbud i Norge vil være nødvendig for å gjøre det mulig for utenlandske studenter å ta deler av utdanningen her i landet.,Integration,FAVOR
nld: Green Left,Dat is zo on-Nederlands.,Integration,AGAINST
deu: Party of Democratic Socialism,"Deshalb wollen wir die Menschen ermutigen, Möglichkeiten zur Entfaltung ihrer Individualität wahrzunehmen, selbstbewußt zu handeln und ihre Rechte zu verteidigen",Integration,FAVOR
aut: Austrian People’s Party,Es geht um eine eindeutige Differenzierung zwischen Zuwanderungspolitik (als Antwort auf freiwillige Migration und wirtschaftliche Überlegungen) und Asylgewährung (als Antwort auf erzwungene Migration) als zwei unterschiedliche Immigrationspolitiken.,Immigration,FAVOR
irl: Soldiers of Destiny,In recent years we have worked hard to improve the asylum and immigration processes and promote successful integration.,Integration,FAVOR
fin: Left Wing Alliance,"että pakolaisten ja turvapaikanhakijoiden suojaa Suomessa ja EU:ssa lisätään turvaamalla turvapaikkakäsittelyn yksilöllisyys, luopumalla pikakäännytyksistä ja lisäämällä käsittelyn oikeudellista valvontaa",Immigration,FAVOR
deu: The Left,Das Asylrecht gerät immer wieder ins Visier rechter Kampagnen.,Immigration,NONE
deu: Alliance‘90/Greens,"Abschiebungen von SyrerInnen in andere EU-Länder, die weiterhin nach Syrien abschieben, lehnen wir ab.",Immigration,FAVOR
che: Social Democratic Party of Switzerland ,"Akte privater Gewalt müssen als Verfolgungen anerkannt werden, sie verleihen Anrecht auf Asyl.",Immigration,FAVOR
swe: Liberal People’s Party,Ombyggda städer stärker integrationen.,Integration,FAVOR
irl: Soldiers of Destiny,and one of the strongest economies on the planet.,Integration,FAVOR
aut: Austrian Social Democratic Party,Saisonbeschäftigungen sollen die Ausnahme bilden.,Integration,FAVOR
fin: Finnish Rural Party,"Näin syntyy vähemmistöjen muodostamia keinotekoisia yhdyskuntia, joiden sisällä elävillä ihmisillä ei ole kontaktipintaa normaalin yhteiskunnan kanssa eikä tarvetta tai edellytyksiä oppia kunnolla suomea.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Wir erwarten dabei auch von den muslimischen Verbänden ein erkennbareres Gegensteuern.,Integration,FAVOR
che: Green Liberal Party,Hoch qualifizierte Arbeitskräfte sind für eine innovative Wirtschaft unerlässlich.,Immigration,FAVOR
esp: United Left,"Las consecuencias de los cambios políticos en el norte de África y la guerra civil en Libia, agravada por la intervención extranjera, ha puesto en evidencia las prioridades de la UE: mientras de justifican los bombardeos con la excusa de la necesidad de proteger a la población civil, millares personas refugiadas desaparecen en el mar intentando huir por cualquier medio.",Immigration,NONE
fin: Finnish Rural Party,"Osa maahanmuuttajista saa töitä matalapalkka-aloilta, mutta vain harvalla on sellainen koulutus, jolla täytettäisiin tällä hetkellä maassamme olevaa lievää työvoimantarvetta.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Mit dem Pakt für Deutschland ermöglichen wir in der Krise kommunale Investitionen in Bildung und damit in die Zukunft.,Integration,FAVOR
deu: Alliance‘90/Greens,"Unsere Demokratie darf niemanden aufgrund von Herkunft, Hautfarbe, sexueller Identität, Geschlecht, Behinderung, Religion und Weltanschauung oder Alter ausgrenzen.",Integration,FAVOR
aut: Austrian Social Democratic Party,Wir treten für ein geordnetes und möglichst konfliktfreies Zusammenleben aller Menschen in Österreich ein.,Integration,FAVOR
dnk: Liberals,"Vi skal fortsat forbedre fagligheden, så vore unge kan konkurrere med de kvikkeste hoveder i verden,",Integration,FAVOR
fin: Finnish Rural Party,Tulemme ja haluamme tulla toimeen muiden kansojen ja kulttuurien kanssa.,Integration,FAVOR
fin: Finnish Rural Party,Kieltä osaamattomat maahanmuuttajalapset on ensin laitettava erilliseen kielenopetukseen ennen normaaleihin opetusryhmiin sijoittamista.,Integration,FAVOR
nor: Norwegian Labour Party,Arbeiderpartiet mener at dette er en grunnleggende positiv utvikling.,Integration,FAVOR
fin: Green Union,Kielellisten vähemmistöjen mahdollisuuksia oppia ja käyttää äidinkieliään on lisättävä.,Integration,FAVOR
nor: Liberal Party,I et samfunn i endring er toleranse og respekt for andres valg og ytringer på tros- og livssynsområdet viktige verdier.,Integration,FAVOR
dnk: Radical Party,"og integrere de mennesker, som bor her, gennem krav til danskundervisning,",Integration,AGAINST
aut: Austrian People’s Party,"Österreich wird den Südtirolern auch dabei helfen, alle Versuche der Störung des friedlichen Zusammenlebens aller Volksgruppen zurückzuweisen.",Integration,FAVOR
nor: Socialist Left Party,Kulturpolitikken må ta opp i seg at Norge er et flerkulturelt samfunn.,Integration,FAVOR
irl: Soldiers of Destiny,This has brought with it many challenges in a country such as Ireland where there has been no significant historical experience of dealing with immigration.,Immigration,NONE
che: Green Party of Switzerland,"Verbesserungen der Arbeitsbedingungen für MigrantInnen, die im halbprivatisierten Dienstleistungsbereich arbeiten (v.a. Hausangestellte); Förderung der Anstellung von Jugendlichen und Erwachsenen mit Migrationshintergrund in der Verwaltung und entsprechende Anreizsysteme für die Privatwirtschaft.",Integration,FAVOR
deu: Alliance‘90/Greens,Das Asylrecht ist ein unveräußerlicher Teil der Menschenrechte und Ausdruck unserer historischen Verantwortung,Immigration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Damit sich Neuzuwanderer auf das Leben in Deutschland gut vorbereiten können, brauchen wir ausreichende Informationsangebote etwa zu Einreise, Schule und Beruf sowie zum Spracherwerb.",Integration,FAVOR
aut: The Greens,"Egal ob Klima oder Asyl, Schule oder Sicherheit, Pflege oder Einwanderung – Schuld an den Missständen sind weder Inländer noch Ausländer.",Immigration,NONE
nld: Socialist Party,"Waar we ook zijn geboren, we staan er samen voor om ons land weer op te bouwen.",Integration,FAVOR
deu: Alliance‘90/Greens,"Dabei ist für uns klar: Alle Jugendlichen, egal ob mit oder ohne Behinderung, mit oder ohne Migrationshintergrund, gleich welcher sexuellen Identität, gehören dazu.",Integration,FAVOR
esp: United Left,"De esta forma, los gobiernos de los Estados buscan eludir su responsabilidad directa en la aplicación de normas que aparecen como “emanadas de Bruselas” o de tal o cual grupo (el G-5, p.e.), como si no fueran parte integrante y determinante en ambos casos.",Immigration,AGAINST
che: Green Party of Switzerland,"Ein Integrationsgesetz, das die Chancengleichheit und den Respekt der kulturellen Vielfalt zum Ziel hat.",Integration,FAVOR
nor: Norwegian Labour Party,. Arbeiderpartiet ønsker å prioritere mottak av kvoteflyktninger som skjer i samarbeid med FNs høykommissær for flyktninger,Immigration,FAVOR
deu: Alliance‘90/Greens,"Es ist unerlässlich, die individuelle Förderung der Schülerinnen und Schüler in den Vordergrund der Unterrichtspraxis zu rücken.",Integration,FAVOR
nor: Centre Party,. Tidligere barnesoldater og traumatisert ungdom fra krigssoner må få rask og riktig tilrettelagt hjelp,Immigration,FAVOR
nor: Norwegian Labour Party,at elever med fagbrev skal gis større mulighet til å søke høyere utdanning innenfor sitt fagområde,Integration,FAVOR
nor: Socialist Left Party,"Også ordningen med statskirke er foreldet, og SV vil skille stat og kirke.",Integration,NONE
che: Social Democratic Party of Switzerland ,Zu fördern sind insbesondere open source-Angebote.,Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,Die Integration der Menschen mit Migrationshintergrund ist für Deutschland eine Schlüsselaufgabe.,Integration,FAVOR
dnk: Red-Green Unity List,MEN DET ER IKKE FOR SENT AT VENDE UDVIKLINGEN.,Integration,NONE
esp: United Left,"Durante la legislatura 2004-2008, IU ha jugado un papel clave en la elaboración y aprobación de dos leyes básicas, el Estatuto de la Ciudadanía Española en el Exterior y el acceso de los nietos a la nacionalidad española en la llamada ley de Memoria Histórica, que ahora requieren un profundo desarrollo en beneficio concreto de los emigrantes y, en general, del conjunto de los residentes en el extranjero.",Integration,FAVOR
nld: People’s Party for Freedom and Democracy ,Een ‘machtiging tot voorlopig verblijf’ (MVV) kan voortaan uitsluitend nog vanuit het buitenland worden ingediend.,Immigration,AGAINST
esp: Convergence and Union,"Impulsaremos un desarrollo reglamentario acelerado de las previsiones y medidas contenidas en la nueva Ley sobre Derechos y Libertades de los Extranjeros en España y sobre su Integración Social, recientemente aprobada por las Cortes Generales.",Integration,FAVOR
deu: Christian Democratic Union/C.Social Union ,"Wir setzen uns dafür ein, dass deutschen Minderheiten in den Ländern, in denen sie leben, eine Perspektive zum Bleiben geboten wird.",Immigration,FAVOR
nor: Socialist Left Party,SV vil aktivt støtte utlendingsmyndighetenes anmodning om bosetting av flyktninger til respektive kommuner.,Immigration,FAVOR
dnk: Social Democratic Party,og nye flygtningestrømme kan undgås.,Immigration,AGAINST
irl: Soldiers of Destiny,Act to uphold the integrity of the asylum applications system by providing for a more effective removals system for failed applicants.,Immigration,AGAINST
deu: Free Democratic Party,"Um die sprachliche Integration qualitativ nachhaltig zu verbessern, sind die Integrationskurse stärker nach Zielgruppen und Vorkenntnissen zu differenzieren und zu erweitern.",Integration,FAVOR
esp: Spanish Socialist Workers’ Party,para prestar a las víctimas de este tipo de delitos una asistencia adecuada a las especiales circunstancias que en ellos concurren.,Integration,FAVOR
